bloque;indicador;ambito;valor;unidad;anio;fuente;url;nota
E. Salud;Oferta de salud – distrito La Ramada;Distrito La Ramada;8;IPRESS;2026;"SUSALUD – RENIPRESS 2026 v4 + Consulta A «Recursos de Salud por IPRESS» (último registro 2026-05; base P8)";http://datos.susalud.gob.pe/dataset/registro-nacional-de-ipress-renipress;3 médicos (9.0/10 000), 0 camas, 1 ambulancias
E. Salud;Oferta de salud – distrito Choros;Distrito Choros;4;IPRESS;2026;"SUSALUD – RENIPRESS 2026 v4 + Consulta A «Recursos de Salud por IPRESS» (último registro 2026-05; base P8)";http://datos.susalud.gob.pe/dataset/registro-nacional-de-ipress-renipress;3 médicos (9.7/10 000), 0 camas, 1 ambulancias
E. Salud;Oferta de salud – distrito Santa Cruz;Distrito Santa Cruz;7;IPRESS;2026;"SUSALUD – RENIPRESS 2026 v4 + Consulta A «Recursos de Salud por IPRESS» (último registro 2026-05; base P8)";http://datos.susalud.gob.pe/dataset/registro-nacional-de-ipress-renipress;1 médicos (3.8/10 000), 0 camas, 0 ambulancias
E. Salud;Oferta de salud – distrito San Luis De Lucma;Distrito San Luis De Lucma;5;IPRESS;2026;"SUSALUD – RENIPRESS 2026 v4 + Consulta A «Recursos de Salud por IPRESS» (último registro 2026-05; base P8)";http://datos.susalud.gob.pe/dataset/registro-nacional-de-ipress-renipress;2 médicos (7.6/10 000), 2 camas, 1 ambulancias
E. Salud;Oferta de salud – distrito Cujillo;Distrito Cujillo;4;IPRESS;2026;"SUSALUD – RENIPRESS 2026 v4 + Consulta A «Recursos de Salud por IPRESS» (último registro 2026-05; base P8)";http://datos.susalud.gob.pe/dataset/registro-nacional-de-ipress-renipress;3 médicos (13.3/10 000), 0 camas, 1 ambulancias
E. Salud;Oferta de salud – distrito San Juan De Cutervo;Distrito San Juan De Cutervo;4;IPRESS;2026;"SUSALUD – RENIPRESS 2026 v4 + Consulta A «Recursos de Salud por IPRESS» (último registro 2026-05; base P8)";http://datos.susalud.gob.pe/dataset/registro-nacional-de-ipress-renipress;2 médicos (9.5/10 000), 0 camas, 1 ambulancias
E. Salud;Oferta de salud – distrito Toribio Casanova;Distrito Toribio Casanova;2;IPRESS;2026;"SUSALUD – RENIPRESS 2026 v4 + Consulta A «Recursos de Salud por IPRESS» (último registro 2026-05; base P8)";http://datos.susalud.gob.pe/dataset/registro-nacional-de-ipress-renipress;1 médicos (8.4/10 000), 0 camas, 1 ambulancias
E. Salud;Médicos en los 14 distritos fuera de la capital;Provincia Cutervo (sin distrito Cutervo);49;médicos;2026;"SUSALUD – RENIPRESS 2026 v4 + Consulta A «Recursos de Salud por IPRESS» (último registro 2026-05; base P8)";http://datos.susalud.gob.pe/dataset/consulta-recursos-de-salud-por-ipress;"para 69185 habitantes = 7.1 por 10 000; distritos sin camas: 7"
A. Territorio y población;Superficie;Provincia Cutervo;3028.5;km²;2017;CEPLAN (PCM) – Información de brechas territoriales (Excel dep/prov/dist) (fuente INEI);https://www.ceplan.gob.pe/informacion-de-brechas-territoriales/ (Excel: https://www.ceplan.gob.pe/download/218452/);densidad 40.3 hab/km² (censo 2025)
A. Territorio y población;Altitud de la capital;Cutervo (ciudad);2628.0;msnm;2017;CEPLAN (PCM) – Información de brechas territoriales (Excel dep/prov/dist);https://www.ceplan.gob.pe/informacion-de-brechas-territoriales/ (Excel: https://www.ceplan.gob.pe/download/218452/);
A. Territorio y población;Número de distritos;Provincia Cutervo;15;distritos;2017;CEPLAN (PCM) – Información de brechas territoriales (Excel dep/prov/dist) / INEI;https://www.ceplan.gob.pe/informacion-de-brechas-territoriales/ (Excel: https://www.ceplan.gob.pe/download/218452/);
A. Territorio y población;Número de centros poblados (CCPP);Provincia Cutervo;635;centros poblados;2017;CEPLAN (PCM) – Información de brechas territoriales (Excel dep/prov/dist) (fuente: INEI Directorio CCPP 2017);https://www.ceplan.gob.pe/informacion-de-brechas-territoriales/ (Excel: https://www.ceplan.gob.pe/download/218452/);"Cajamarca 6 513; Perú 94 922"
A. Territorio y población;Población proyectada INEI 2018;Provincia Cutervo;125818;personas;2018;CEPLAN (PCM) – Información de brechas territoriales (Excel dep/prov/dist) (INEI proyecciones);https://www.ceplan.gob.pe/informacion-de-brechas-territoriales/ (Excel: https://www.ceplan.gob.pe/download/218452/);2022: 122594 (tendencia decreciente)
B. Pobreza;Pobreza monetaria – estimación puntual (Mapa de Pobreza 2018);Provincia Cutervo;57.5;%;2018;CEPLAN (PCM) – Información de brechas territoriales (Excel dep/prov/dist) (fuente INEI);https://www.ceplan.gob.pe/informacion-de-brechas-territoriales/ (Excel: https://www.ceplan.gob.pe/download/218452/);
B. Pobreza;Pobreza extrema (Mapa de Pobreza 2013);Provincia Cutervo;37.3;%;2013;CEPLAN (PCM) – Información de brechas territoriales (Excel dep/prov/dist) (fuente INEI);https://www.ceplan.gob.pe/informacion-de-brechas-territoriales/ (Excel: https://www.ceplan.gob.pe/download/218452/);"dato antiguo; úsese con cautela"
G. Economía, presupuesto y gestión;Presupuesto público ejecutado en la provincia (todas las entidades) – PIM;Provincia Cutervo;802718262.0;S/;2021;CEPLAN (PCM) – Información de brechas territoriales (Excel dep/prov/dist) (fuente MEF);https://www.ceplan.gob.pe/informacion-de-brechas-territoriales/ (Excel: https://www.ceplan.gob.pe/download/218452/);ejecutado 595,295,546 = 74.2 %
G. Economía, presupuesto y gestión;Presupuesto de PROYECTOS en la provincia – PIM;Provincia Cutervo;420568427.0;S/;2021;CEPLAN (PCM) – Información de brechas territoriales (Excel dep/prov/dist) (fuente MEF);https://www.ceplan.gob.pe/informacion-de-brechas-territoriales/ (Excel: https://www.ceplan.gob.pe/download/218452/);"ejecutado 240,496,988 = 57.2 %; sin ejecutar 180,071,439"
C. Servicios básicos y conectividad;Viviendas con los 3 servicios básicos (agua, desagüe, luz) – 2017;Provincia Cutervo;28.5;%;2017;CEPLAN (PCM) – Información de brechas territoriales (Excel dep/prov/dist) (Censo 2017);https://www.ceplan.gob.pe/informacion-de-brechas-territoriales/ (Excel: https://www.ceplan.gob.pe/download/218452/);rural: 6.0 % (1566 de 25923)
C. Servicios básicos y conectividad;Hogares que cocinan con leña – 2017;Provincia Cutervo;83.4;%;2017;CEPLAN (PCM) – Información de brechas territoriales (Excel dep/prov/dist) (Censo 2017);https://www.ceplan.gob.pe/informacion-de-brechas-territoriales/ (Excel: https://www.ceplan.gob.pe/download/218452/);30545 de 36645 hogares
C. Servicios básicos y conectividad;Hogares con conexión a internet – 2017;Provincia Cutervo;3.7;%;2017;CEPLAN (PCM) – Información de brechas territoriales (Excel dep/prov/dist) (Censo 2017);https://www.ceplan.gob.pe/informacion-de-brechas-territoriales/ (Excel: https://www.ceplan.gob.pe/download/218452/);
C. Servicios básicos y conectividad;Viviendas sin alumbrado eléctrico – 2017;Provincia Cutervo;26.1;%;2017;CEPLAN (PCM) – Información de brechas territoriales (Excel dep/prov/dist) (Censo 2017);https://www.ceplan.gob.pe/informacion-de-brechas-territoriales/ (Excel: https://www.ceplan.gob.pe/download/218452/);comparar con 2025 (mejora)
C. Servicios básicos y conectividad;Viviendas con agua de red pública (dentro o fuera) – 2017;Provincia Cutervo;65.8;%;2017;CEPLAN (PCM) – Información de brechas territoriales (Excel dep/prov/dist) (Censo 2017);https://www.ceplan.gob.pe/informacion-de-brechas-territoriales/ (Excel: https://www.ceplan.gob.pe/download/218452/);comparar con 2025
E. Salud;Desnutrición crónica infantil (<5 años);Provincia Cutervo;17.6;%;2021;CEPLAN (PCM) – Información de brechas territoriales (Excel dep/prov/dist) (SIEN/INS);https://www.ceplan.gob.pe/informacion-de-brechas-territoriales/ (Excel: https://www.ceplan.gob.pe/download/218452/);"2002 casos de 11403 evaluados; 2019: 22.2 %; Perú 2021: 15.1 %"
E. Salud;Anemia en niños de 6 a 35 meses;Provincia Cutervo;19.2;%;2021;CEPLAN (PCM) – Información de brechas territoriales (Excel dep/prov/dist) (SIEN/INS);https://www.ceplan.gob.pe/informacion-de-brechas-territoriales/ (Excel: https://www.ceplan.gob.pe/download/218452/);"204 casos de 1063 evaluados (cobertura baja); 2019: 20.6 %"
E. Salud;Anemia en niños <5 años;Provincia Cutervo;14.1;%;2021;CEPLAN (PCM) – Información de brechas territoriales (Excel dep/prov/dist) (SIEN/INS);https://www.ceplan.gob.pe/informacion-de-brechas-territoriales/ (Excel: https://www.ceplan.gob.pe/download/218452/);285 casos de 2022 evaluados
E. Salud;Nutricionistas registrados (RNPS);Provincia Cutervo;6;profesionales;2022;CEPLAN (PCM) – Información de brechas territoriales (Excel dep/prov/dist) (MINSA-RNPS mar-2022);https://www.ceplan.gob.pe/informacion-de-brechas-territoriales/ (Excel: https://www.ceplan.gob.pe/download/218452/);médicos 102, enfermeros 175, obstetras 110, psicólogos 25
E. Salud;Establecimientos por categoría (RNPS 2021);Provincia Cutervo;196;establecimientos;2021;CEPLAN (PCM) – Información de brechas territoriales (Excel dep/prov/dist) (MINSA-RNPS);https://www.ceplan.gob.pe/informacion-de-brechas-territoriales/ (Excel: https://www.ceplan.gob.pe/download/218452/);I-1: 147, I-2: 16, I-3: 28, I-4: 0, II-1: 1, sin categoría: 4
D. Educación;Locales escolares públicos en buen estado;Provincia Cutervo;14.7;%;2018;CEPLAN (PCM) – Información de brechas territoriales (Excel dep/prov/dist) (MINEDU-ESCALE);https://www.ceplan.gob.pe/informacion-de-brechas-territoriales/ (Excel: https://www.ceplan.gob.pe/download/218452/);Perú 16,3 %
D. Educación;Locales escolares públicos conectados a red de agua potable;Provincia Cutervo;20.7;%;2021;CEPLAN (PCM) – Información de brechas territoriales (Excel dep/prov/dist) (MINEDU-ESCALE);https://www.ceplan.gob.pe/informacion-de-brechas-territoriales/ (Excel: https://www.ceplan.gob.pe/download/218452/);Perú 32,6 %
D. Educación;Locales escolares públicos con los tres servicios básicos;Provincia Cutervo;15.3;%;2021;CEPLAN (PCM) – Información de brechas territoriales (Excel dep/prov/dist) (MINEDU-ESCALE);https://www.ceplan.gob.pe/informacion-de-brechas-territoriales/ (Excel: https://www.ceplan.gob.pe/download/218452/);Perú 26,8 %
D. Educación;Escuelas primarias con acceso a internet;Provincia Cutervo;28.1;%;2020;CEPLAN (PCM) – Información de brechas territoriales (Excel dep/prov/dist) (MINEDU-ESCALE);https://www.ceplan.gob.pe/informacion-de-brechas-territoriales/ (Excel: https://www.ceplan.gob.pe/download/218452/);secundaria 35.3 % (Perú: primaria 40,4 %, secundaria 71,4 %)
D. Educación;Primarias públicas multigrado o unidocentes (sector Educación);Provincia Cutervo;386;IIEE;2021;CEPLAN (PCM) – Información de brechas territoriales (Excel dep/prov/dist) (MINEDU-ESCALE);https://www.ceplan.gob.pe/informacion-de-brechas-territoriales/ (Excel: https://www.ceplan.gob.pe/download/218452/);multigrado 269 + unidocente 117 vs polidocente completo 33
D. Educación;Servicios educativos públicos activos: primaria / secundaria / jardín / PRONOEI;Provincia Cutervo;425 / 124 / 328 / 387;servicios;2021;CEPLAN (PCM) – Información de brechas territoriales (Excel dep/prov/dist) (MINEDU-ESCALE);https://www.ceplan.gob.pe/informacion-de-brechas-territoriales/ (Excel: https://www.ceplan.gob.pe/download/218452/);gestión pública directa
D. Educación;ECE 4.º primaria – Lectura 'previo al inicio';Provincia Cutervo;15.0;%;2019;CEPLAN (PCM) – Información de brechas territoriales (Excel dep/prov/dist) (MINEDU-UMC);https://www.ceplan.gob.pe/informacion-de-brechas-territoriales/ (Excel: https://www.ceplan.gob.pe/download/218452/);"Perú 5 %; 'en inicio' 31 % (Perú 25 %)"
F. Economía productiva;PEA ocupada (Censo 2017);Provincia Cutervo;39645;personas;2017;CEPLAN (PCM) – Información de brechas territoriales (Excel dep/prov/dist) (Censo 2017);https://www.ceplan.gob.pe/informacion-de-brechas-territoriales/ (Excel: https://www.ceplan.gob.pe/download/218452/);suma de tramos de edad y nivel educativo
F. Economía productiva;PEA ocupada en agricultura, ganadería, silvicultura y pesca;Provincia Cutervo;27650;personas;2017;CEPLAN (PCM) – Información de brechas territoriales (Excel dep/prov/dist) (Censo 2017);https://www.ceplan.gob.pe/informacion-de-brechas-territoriales/ (Excel: https://www.ceplan.gob.pe/download/218452/);"69.7 % de la PEA ocupada; 26935 en unidades de 1 a 5 personas"
F. Economía productiva;PEA ocupada en comercio;Provincia Cutervo;2257;personas;2017;CEPLAN (PCM) – Información de brechas territoriales (Excel dep/prov/dist) (Censo 2017);https://www.ceplan.gob.pe/informacion-de-brechas-territoriales/ (Excel: https://www.ceplan.gob.pe/download/218452/);unidades de 1 a 5 personas
F. Economía productiva;Empresas en operación (SUNAT);Provincia Cutervo;3354;empresas;2021;CEPLAN (PCM) – Información de brechas territoriales (Excel dep/prov/dist) (SUNAT);https://www.ceplan.gob.pe/informacion-de-brechas-territoriales/ (Excel: https://www.ceplan.gob.pe/download/218452/);2019: 2772
G. Economía, presupuesto y gestión;Tributos internos recaudados por SUNAT en la provincia;Provincia Cutervo;14.5;millones S/;2021;CEPLAN (PCM) – Información de brechas territoriales (Excel dep/prov/dist) (SUNAT);https://www.ceplan.gob.pe/informacion-de-brechas-territoriales/ (Excel: https://www.ceplan.gob.pe/download/218452/);
G. Economía, presupuesto y gestión;Contribuyentes registrados;Provincia Cutervo;15242;contribuyentes;2021;CEPLAN (PCM) – Información de brechas territoriales (Excel dep/prov/dist) (SUNAT);https://www.ceplan.gob.pe/informacion-de-brechas-territoriales/ (Excel: https://www.ceplan.gob.pe/download/218452/);agropecuarios: 203 (1.3 %) pese a que ~7 de cada 10 ocupados son del agro
G. Economía, presupuesto y gestión;Canon minero transferido a municipalidades de la provincia;Provincia Cutervo;8.5;millones S/;2020;CEPLAN (PCM) – Información de brechas territoriales (Excel dep/prov/dist) (MEF);https://www.ceplan.gob.pe/informacion-de-brechas-territoriales/ (Excel: https://www.ceplan.gob.pe/download/218452/);"2019: 4.27 M; canon hidroenergético 2020: 51 mil"
G. Economía, presupuesto y gestión;Créditos del sistema financiero en la provincia (banca múltiple + cajas + Edpymes);Provincia Cutervo;168.3;millones S/;2021;CEPLAN (PCM) – Información de brechas territoriales (Excel dep/prov/dist) (SBS);https://www.ceplan.gob.pe/informacion-de-brechas-territoriales/ (Excel: https://www.ceplan.gob.pe/download/218452/);"cajas municipales 108.2 M; banca 52.6 M"
H. Seguridad y riesgos;Comisarías;Provincia Cutervo;15;comisarías;2021;CEPLAN (PCM) – Información de brechas territoriales (Excel dep/prov/dist) (MININTER/Observatorio);https://www.ceplan.gob.pe/informacion-de-brechas-territoriales/ (Excel: https://www.ceplan.gob.pe/download/218452/);"tipo A: 1, tipo E: 14; 11 con paredes de adobe; 3 con sistema de evacuación de lluvias"
H. Seguridad y riesgos;Efectivos policiales en comisarías;Provincia Cutervo;119;efectivos;2021;CEPLAN (PCM) – Información de brechas territoriales (Excel dep/prov/dist) (MININTER/Observatorio);https://www.ceplan.gob.pe/informacion-de-brechas-territoriales/ (Excel: https://www.ceplan.gob.pe/download/218452/);1 policía por 1025 habitantes (9.8 por 10 000)
H. Seguridad y riesgos;Residuos sólidos recolectados por día;Provincia Cutervo;23565;kg/día;2021;CEPLAN (PCM) – Información de brechas territoriales (Excel dep/prov/dist) (INEI-RENAMU, autodeclarado);https://www.ceplan.gob.pe/informacion-de-brechas-territoriales/ (Excel: https://www.ceplan.gob.pe/download/218452/);"a relleno sanitario: 800 kg/día (3.4 %); el resto a botaderos u otros destinos"
H. Seguridad y riesgos;Municipalidades con algún instrumento de gestión ambiental;Provincia Cutervo;11;de 15 municipalidades;2021;CEPLAN (PCM) – Información de brechas territoriales (Excel dep/prov/dist) (INEI-RENAMU);https://www.ceplan.gob.pe/informacion-de-brechas-territoriales/ (Excel: https://www.ceplan.gob.pe/download/218452/);"con diagnóstico ambiental local: 1; con plan de acción ambiental: 3"
B. Pobreza;Pobreza monetaria – intervalo de confianza 95 %;Provincia Cutervo;53.8 – 61.2;%;2018;INEI – Mapa de Pobreza Monetaria Provincial y Distrital 2018 (Anexo 2 y Cuadro 7);https://www.inei.gob.pe/media/MenuRecursivo/publicaciones_digitales/Est/Lib1718/Libro.pdf;población proyectada 2020: 123948
B. Pobreza;Puesto entre las 196 provincias más pobres del Perú;Provincia Cutervo;5;puesto;2018;INEI – Mapa de Pobreza Monetaria Provincial y Distrital 2018 (Anexo 2 y Cuadro 7);https://www.inei.gob.pe/media/MenuRecursivo/publicaciones_digitales/Est/Lib1718/Libro.pdf;"Cutervo figura 5.ª en 'Veinte provincias más pobres, 2018' (Cuadro N° 7); 10 de las 20 son de Cajamarca"
B. Pobreza;Distritos de Cutervo entre los 100 más pobres del Perú (de 1 874);Provincia Cutervo;8;distritos;2018;INEI – Mapa de Pobreza Monetaria Provincial y Distrital 2018 (Anexo 2 y Cuadro 7);https://www.inei.gob.pe/media/MenuRecursivo/publicaciones_digitales/Est/Lib1718/Libro.pdf;"Cujillo #9; Callayuc #12; La Ramada #17; Santo Tomas #29; Querocotillo #34; Santa Cruz #40; Santo Domingo De La Capilla #51; San Juan De Cutervo #69"
B. Pobreza;Pobreza monetaria – distrito Cujillo;Distrito Cujillo;66.2 – 87.1;%;2018;INEI – Mapa de Pobreza Monetaria Provincial y Distrital 2018 (Anexo 2 y Cuadro 7);https://www.inei.gob.pe/media/MenuRecursivo/publicaciones_digitales/Est/Lib1718/Libro.pdf;puesto nacional 9 de 1 874 (1 = más pobre)
B. Pobreza;Pobreza monetaria – distrito Callayuc;Distrito Callayuc;68.0 – 83.3;%;2018;INEI – Mapa de Pobreza Monetaria Provincial y Distrital 2018 (Anexo 2 y Cuadro 7);https://www.inei.gob.pe/media/MenuRecursivo/publicaciones_digitales/Est/Lib1718/Libro.pdf;puesto nacional 12 de 1 874 (1 = más pobre)
B. Pobreza;Pobreza monetaria – distrito La Ramada;Distrito La Ramada;65.8 – 80.8;%;2018;INEI – Mapa de Pobreza Monetaria Provincial y Distrital 2018 (Anexo 2 y Cuadro 7);https://www.inei.gob.pe/media/MenuRecursivo/publicaciones_digitales/Est/Lib1718/Libro.pdf;puesto nacional 17 de 1 874 (1 = más pobre)
B. Pobreza;Pobreza monetaria – distrito Santo Tomas;Distrito Santo Tomas;62.9 – 77.2;%;2018;INEI – Mapa de Pobreza Monetaria Provincial y Distrital 2018 (Anexo 2 y Cuadro 7);https://www.inei.gob.pe/media/MenuRecursivo/publicaciones_digitales/Est/Lib1718/Libro.pdf;puesto nacional 29 de 1 874 (1 = más pobre)
B. Pobreza;Pobreza monetaria – distrito Querocotillo;Distrito Querocotillo;61.3 – 77.0;%;2018;INEI – Mapa de Pobreza Monetaria Provincial y Distrital 2018 (Anexo 2 y Cuadro 7);https://www.inei.gob.pe/media/MenuRecursivo/publicaciones_digitales/Est/Lib1718/Libro.pdf;puesto nacional 34 de 1 874 (1 = más pobre)
B. Pobreza;Pobreza monetaria – distrito Santa Cruz;Distrito Santa Cruz;60.4 – 76.7;%;2018;INEI – Mapa de Pobreza Monetaria Provincial y Distrital 2018 (Anexo 2 y Cuadro 7);https://www.inei.gob.pe/media/MenuRecursivo/publicaciones_digitales/Est/Lib1718/Libro.pdf;puesto nacional 40 de 1 874 (1 = más pobre)
B. Pobreza;Pobreza monetaria – distrito Santo Domingo De La Capilla;Distrito Santo Domingo De La Capilla;59.9 – 73.8;%;2018;INEI – Mapa de Pobreza Monetaria Provincial y Distrital 2018 (Anexo 2 y Cuadro 7);https://www.inei.gob.pe/media/MenuRecursivo/publicaciones_digitales/Est/Lib1718/Libro.pdf;puesto nacional 51 de 1 874 (1 = más pobre)
B. Pobreza;Pobreza monetaria – distrito San Juan De Cutervo;Distrito San Juan De Cutervo;56.0 – 73.4;%;2018;INEI – Mapa de Pobreza Monetaria Provincial y Distrital 2018 (Anexo 2 y Cuadro 7);https://www.inei.gob.pe/media/MenuRecursivo/publicaciones_digitales/Est/Lib1718/Libro.pdf;puesto nacional 69 de 1 874 (1 = más pobre)
B. Pobreza;Pobreza monetaria – distrito Pimpingos;Distrito Pimpingos;51.3 – 69.5;%;2018;INEI – Mapa de Pobreza Monetaria Provincial y Distrital 2018 (Anexo 2 y Cuadro 7);https://www.inei.gob.pe/media/MenuRecursivo/publicaciones_digitales/Est/Lib1718/Libro.pdf;puesto nacional 111 de 1 874 (1 = más pobre)
B. Pobreza;Pobreza monetaria – distrito Choros;Distrito Choros;50.4 – 69.3;%;2018;INEI – Mapa de Pobreza Monetaria Provincial y Distrital 2018 (Anexo 2 y Cuadro 7);https://www.inei.gob.pe/media/MenuRecursivo/publicaciones_digitales/Est/Lib1718/Libro.pdf;puesto nacional 120 de 1 874 (1 = más pobre)
B. Pobreza;Pobreza monetaria – distrito San Andrés De Cutervo;Distrito San Andrés De Cutervo;47.9 – 64.9;%;2018;INEI – Mapa de Pobreza Monetaria Provincial y Distrital 2018 (Anexo 2 y Cuadro 7);https://www.inei.gob.pe/media/MenuRecursivo/publicaciones_digitales/Est/Lib1718/Libro.pdf;puesto nacional 171 de 1 874 (1 = más pobre)
B. Pobreza;Pobreza monetaria – distrito San Luis De Lucma;Distrito San Luis De Lucma;44.8 – 65.4;%;2018;INEI – Mapa de Pobreza Monetaria Provincial y Distrital 2018 (Anexo 2 y Cuadro 7);https://www.inei.gob.pe/media/MenuRecursivo/publicaciones_digitales/Est/Lib1718/Libro.pdf;puesto nacional 196 de 1 874 (1 = más pobre)
B. Pobreza;Pobreza monetaria – distrito Socota;Distrito Socota;46.8 – 63.0;%;2018;INEI – Mapa de Pobreza Monetaria Provincial y Distrital 2018 (Anexo 2 y Cuadro 7);https://www.inei.gob.pe/media/MenuRecursivo/publicaciones_digitales/Est/Lib1718/Libro.pdf;puesto nacional 203 de 1 874 (1 = más pobre)
B. Pobreza;Pobreza monetaria – distrito Cutervo;Distrito Cutervo;38.8 – 54.3;%;2018;INEI – Mapa de Pobreza Monetaria Provincial y Distrital 2018 (Anexo 2 y Cuadro 7);https://www.inei.gob.pe/media/MenuRecursivo/publicaciones_digitales/Est/Lib1718/Libro.pdf;puesto nacional 476 de 1 874 (1 = más pobre)
B. Pobreza;Pobreza monetaria – distrito Toribio Casanova;Distrito Toribio Casanova;28.6 – 47.4;%;2018;INEI – Mapa de Pobreza Monetaria Provincial y Distrital 2018 (Anexo 2 y Cuadro 7);https://www.inei.gob.pe/media/MenuRecursivo/publicaciones_digitales/Est/Lib1718/Libro.pdf;puesto nacional 801 de 1 874 (1 = más pobre)
A. Territorio y población;Centros poblados con menos de 100 habitantes;Provincia Cutervo;294;centros poblados;2017;INEI – Directorio Nacional de Centros Poblados, Censos Nacionales 2017 (tomo Cajamarca);https://www.inei.gob.pe/media/MenuRecursivo/publicaciones_digitales/Est/Lib1541/index.htm (cuadros/dpto06.xlsx);"46 % de los 635 CCPP; con <50 hab: 158"
A. Territorio y población;Rango altitudinal de los centros poblados;Provincia Cutervo;456 – 3068;msnm;2017;INEI – Directorio Nacional de Centros Poblados, Censos Nacionales 2017 (tomo Cajamarca);https://www.inei.gob.pe/media/MenuRecursivo/publicaciones_digitales/Est/Lib1541/index.htm (cuadros/dpto06.xlsx);3 regiones naturales: Yunga fluvial 364, Quechua 143, Rupa Rupa 128 CCPP
A. Territorio y población;Centros poblados con más de 1 000 habitantes;Provincia Cutervo;4;centros poblados;2017;INEI – Directorio Nacional de Centros Poblados, Censos Nacionales 2017 (tomo Cajamarca);https://www.inei.gob.pe/media/MenuRecursivo/publicaciones_digitales/Est/Lib1541/index.htm (cuadros/dpto06.xlsx);"Cutervo (21220); Socota (2698); Santo Tomas (1762); San Andres De Cutervo (1101)"
A. Territorio y población;Centros poblados – distrito Cutervo;Distrito Cutervo;141;centros poblados;2017;INEI – Directorio Nacional de Centros Poblados, Censos Nacionales 2017 (tomo Cajamarca);https://www.inei.gob.pe/media/MenuRecursivo/publicaciones_digitales/Est/Lib1541/index.htm (cuadros/dpto06.xlsx);"39 con <100 hab; capital Cutervo (21220 hab. 2017)"
A. Territorio y población;Centros poblados – distrito Callayuc;Distrito Callayuc;69;centros poblados;2017;INEI – Directorio Nacional de Centros Poblados, Censos Nacionales 2017 (tomo Cajamarca);https://www.inei.gob.pe/media/MenuRecursivo/publicaciones_digitales/Est/Lib1541/index.htm (cuadros/dpto06.xlsx);"35 con <100 hab; capital Callayuc (585 hab. 2017)"
A. Territorio y población;Centros poblados – distrito Choros;Distrito Choros;34;centros poblados;2017;INEI – Directorio Nacional de Centros Poblados, Censos Nacionales 2017 (tomo Cajamarca);https://www.inei.gob.pe/media/MenuRecursivo/publicaciones_digitales/Est/Lib1541/index.htm (cuadros/dpto06.xlsx);"25 con <100 hab; capital Choros (347 hab. 2017)"
A. Territorio y población;Centros poblados – distrito Cujillo;Distrito Cujillo;22;centros poblados;2017;INEI – Directorio Nacional de Centros Poblados, Censos Nacionales 2017 (tomo Cajamarca);https://www.inei.gob.pe/media/MenuRecursivo/publicaciones_digitales/Est/Lib1541/index.htm (cuadros/dpto06.xlsx);"14 con <100 hab; capital Cujillo (324 hab. 2017)"
A. Territorio y población;Centros poblados – distrito La Ramada;Distrito La Ramada;17;centros poblados;2017;INEI – Directorio Nacional de Centros Poblados, Censos Nacionales 2017 (tomo Cajamarca);https://www.inei.gob.pe/media/MenuRecursivo/publicaciones_digitales/Est/Lib1541/index.htm (cuadros/dpto06.xlsx);"2 con <100 hab; capital La Ramada (576 hab. 2017)"
A. Territorio y población;Centros poblados – distrito Pimpingos;Distrito Pimpingos;36;centros poblados;2017;INEI – Directorio Nacional de Centros Poblados, Censos Nacionales 2017 (tomo Cajamarca);https://www.inei.gob.pe/media/MenuRecursivo/publicaciones_digitales/Est/Lib1541/index.htm (cuadros/dpto06.xlsx);"14 con <100 hab; capital Pimpingos (570 hab. 2017)"
A. Territorio y población;Centros poblados – distrito Querocotillo;Distrito Querocotillo;82;centros poblados;2017;INEI – Directorio Nacional de Centros Poblados, Censos Nacionales 2017 (tomo Cajamarca);https://www.inei.gob.pe/media/MenuRecursivo/publicaciones_digitales/Est/Lib1541/index.htm (cuadros/dpto06.xlsx);"32 con <100 hab; capital Querocotillo (915 hab. 2017)"
A. Territorio y población;Centros poblados – distrito San Andrés De Cutervo;Distrito San Andrés De Cutervo;14;centros poblados;2017;INEI – Directorio Nacional de Centros Poblados, Censos Nacionales 2017 (tomo Cajamarca);https://www.inei.gob.pe/media/MenuRecursivo/publicaciones_digitales/Est/Lib1541/index.htm (cuadros/dpto06.xlsx);"3 con <100 hab; capital San Andres De Cutervo (1101 hab. 2017)"
A. Territorio y población;Centros poblados – distrito San Juan De Cutervo;Distrito San Juan De Cutervo;23;centros poblados;2017;INEI – Directorio Nacional de Centros Poblados, Censos Nacionales 2017 (tomo Cajamarca);https://www.inei.gob.pe/media/MenuRecursivo/publicaciones_digitales/Est/Lib1541/index.htm (cuadros/dpto06.xlsx);"17 con <100 hab; capital San Juan De Cutervo (487 hab. 2017)"
A. Territorio y población;Centros poblados – distrito San Luis De Lucma;Distrito San Luis De Lucma;19;centros poblados;2017;INEI – Directorio Nacional de Centros Poblados, Censos Nacionales 2017 (tomo Cajamarca);https://www.inei.gob.pe/media/MenuRecursivo/publicaciones_digitales/Est/Lib1541/index.htm (cuadros/dpto06.xlsx);"8 con <100 hab; capital San Luis De Lucma (473 hab. 2017)"
A. Territorio y población;Centros poblados – distrito Santa Cruz;Distrito Santa Cruz;47;centros poblados;2017;INEI – Directorio Nacional de Centros Poblados, Censos Nacionales 2017 (tomo Cajamarca);https://www.inei.gob.pe/media/MenuRecursivo/publicaciones_digitales/Est/Lib1541/index.htm (cuadros/dpto06.xlsx);"40 con <100 hab; capital Santa Cruz (364 hab. 2017)"
